,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
234,M/S RAJESH ENTERPRISES,HHB M30X150 GR 10.9 BLACK*,HEX HEAD,102,1020.490196,Extra Heavy,104.09,22930.72,21269.04,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.476361111
235,BHARAT BOLT AGENCIES,HHS M16X45 GR 10.9 BLACK*,HEX HEAD,1425,97.52280702,Extra Heavy,138.97,22911.43,23669.25,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.654843579
236,MANOJ TRADERS,HHB M8X55 GR 10.9 BLACK*,HEX HEAD,5600,25.28035714,Heavy,141.57,22793.96,23744,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.638105449
237,SANGHVI ENTERPRISES,HHS M10X30 GR 10.9 BLACK*,HEX HEAD,5000,25.67,Heavy,128.35,22536.25,22450,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.660098119
238,SANGHVI ENTERPRISES,HHS M10X30 GR 10.9 BLACK*,HEX HEAD,5000,25.67,Heavy,128.35,22519.86,22450,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.660125131
239,BENSONS FASTNERS & PRECESSION ENGG,SHCS M24  x  100 12.9 H/T BLACK *,SHCS,210,491.7142857,Extra Heavy,103.26,22519.48,15991.5,JYOTI KAWATRA,SHCS,ALLOY STEEL,14,2,0.496257802
240,SANGHVI ENTERPRISES,SHCS M16  x  40 12.9 F/T BLACK *,SHCS,1050,91,Extra Heavy,95.55,22454.96,14574,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.719107039
241,SANGHVI ENTERPRISES,SHCS M10X25 12.9  F/T*,SHCS,5000,25.4,Heavy,127,22421.52,19750,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.668348538
242,BHARAT BOLT AGENCIES,SHCS M6  x  16 12.9 F/T BLACK *,SHCS,12000,5.75,Extra Light,69,22282.8,11280,JYOTI KAWATRA,SHCS,ALLOY STEEL,13,0,0.509930919
243,UTKAL VARIETY STORES,HHS M16X70 GR 10.9 BLACK*,HEX HEAD,1000,130.24,Extra Heavy,130.24,22161.5,21410,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.631318582
244,JAY AMBAY ENTERPRISES,HEX NUT M10X1.5 GR10*,NUT,12000,11.6,Medium,139.2,21526.5,18480,JYOTI KAWATRA,NUT,ALLOY STEEL,13,0,0.494376129
245,MANOJ TRADERS,HHB M20X80 GR 10.9 BLACK*,HEX HEAD,500,250.7,Extra Heavy,125.35,21351.87,19955,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.34540715
246,UNIVERSAL PRECISION SCREWS,CSK M4X16 12.9 F/T BLACK*,CSK,10000,1.53,Extra Light,15.3,21280,2800,DEEPALI WALIA,CSK,ALLOY STEEL,13,0,0.569553136
247,KALINGA INDUSTRIAL SUPPLIER,HHB M24X120 GR 8.8 BLACK*,HEX HEAD,240,517.5,Extra Heavy,124.2,21238.97,14407.2,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.522649776
248,UNIVERSAL PRECISION SCREWS,HHB M24X140 GR 10.9 BLACK*,HEX HEAD,240,584.2083333,Extra Heavy,140.21,21194.88,23884.8,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,2,0.545335048
249,SAMEER SALES CORPORATION,HHS M10X110 GR 10.9 BLACK*,HEX HEAD,1350,64.91851852,Heavy,87.64,21148.51,13851,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.747294307
250,SANGHVI ENTERPRISES,SHCS M8  x  25 12.9 F/T BLACK *,SHCS,7200,15,Medium,108,21147.03,16992,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.628469458
251,M/S RAJESH ENTERPRISES,HHB M30X130 GR 10.9 BLACK*,HEX HEAD,105,911.4285714,Extra Heavy,95.7,21044.83,19755.75,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.515588933
252,BENSONS FASTNERS & PRECESSION ENGG,SHCS M24  x  55 12.9 F/T BLACK *,SHCS,280,316,Extra Heavy,88.48,20891.5,14308,JYOTI KAWATRA,SHCS,ALLOY STEEL,14,0,0.068827177
253,SANGHVI ENTERPRISES,HHS M10X25 GR 10.9 BLACK*,HEX HEAD,5000,23.21,Medium,116.05,20831.69,20650,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.672975089
254,UNIVERSAL PRECISION SCREWS,SHCS M20  x  200 12.9 H/T BLACK *,SHCS,144,541.1111111,Extra Heavy,77.92,20816.41,12595.68,DEEPALI WALIA,SHCS,ALLOY STEEL,14,2,0.556670035
255,PRECISION INDUSTRIAL PRODUCTS,SHCS M6  x  20 12.9 F/T BLACK *,SHCS,10000,6.53,Medium,65.3,20677,9800,DEEPALI WALIA,SHCS,ALLOY STEEL,13,0,0.566167638
